Institute Name,City,State,Score,Rank,Category
"Indian Institute of Technology Madras","Chennai","Tamil Nadu",89.41,1,Engineering
"Indian Institute of Technology Delhi","New Delhi","Delhi",87.09,2,Engineering
"Indian Institute of Technology Bombay","Mumbai","Maharashtra",85.16,3,Engineering
"Indian Institute of Technology Kanpur","Kanpur","Uttar Pradesh",82.56,4,Engineering
"Indian Institute of Management Ahmedabad","Ahmedabad","Gujarat",83.2,1,Management
"Indian Institute of Management Bangalore","Bangalore","Karnataka",80.89,2,Management
"All India Institute of Medical Sciences","New Delhi","Delhi",94.32,1,Medical
"National Law School of India University","Bengaluru","Karnataka",80.52,1,Law
"Vellore Institute of Technology","Vellore","Tamil Nadu",66.59,11,Engineering
"National Institute of Technology Tiruchirappalli","Tiruchirappalli","Tamil Nadu",69.71,9,Engineering
